zi,N
征,116
待,543
很,5317
律,232
徐,116
徒,100
得,4791
循,109
微,2036
德,789
徽,232
心,6284
必,934
忆,518
忍,216
志,568
忘,546
忙,366
忧,198
快,9278
念,1232
忽,436
怀,634
态,448
怂,109
怎,1704
怕,586
怖,116
怜,100
思,1092
怠,116
急,116
性,1027
怨,100
怪,298
总,850
怼,100
恋,784
恐,225
恒,116
恙,109
恢,109
恤,316
恩,434
息,862
恰,200
恶,459
悄,200
悔,209
悟,100
悠,116
患,209
悦,109
您,705
悬,334
悲,100
情,2740
惊,1088
惘,100
惜,636
惠,759
惦,109
惧,218
惯,100
惰,116
想,8222
愁,72
愈,117
愉,317
意,1788
感,3313
愣,200
愿,1732
慕,376
慢,109
慧,116
慰,458
憋,116
憨,109
憾,109
懂,566
懈,109
懒,198
戈,528
戏,522
成,4056
我,27233
或,567
战,775
截,125
戳,309
户,316
房,525
所,1603
扉,218
手,2738
才,1751
扎,116
扑,109
扒,109
打,5150
托,434
扣,632
执,796
扬,116
扮,116
扰,100
扶,116
找,1502
承,434
技,736
把,2243
投,318
抗,209
折,109
抛,100
抢,373
护,1700
报,300
抬,69
抱,829
抵,474
抻,100
押,109
抽,109
担,218
拉,448
拌,546
拍,1542
拐,100
拒,1
拓,100
拔,218
招,640
拜,109
拥,325
择,100
拼,985
拾,232
拿,400
持,645
挂,325
指,309
按,309
挑,109
挣,231
挤,430
挥,116
挨,116
挺,541
捉,100
捏,109
捞,116
捡,200
换,527
捣,100
捧,116
据,741
捷,109
掉,770
掌,116
排,218
探,341
接,1257
控,209
推,747
描,100
提,527
援,116
搅,232
搏,209
搜,200
搞,875
搭,425
摆,210
摇,316
摔,109
摩,657
摸,218
撒,116
撞,209
播,891
擅,100
操,109
攒,125
支,843
收,659
改,327
攻,218
放,1794
政,232
故,675
效,100
敌,109
救,188
教,541
敛,4
敢,318
散,100
敦,116
敬,341
数,975
整,1152
文,4711
斗,425
料,623
斜,200
斤,348
斥,109
断,318
斯,1294
新,4061
方,3118
施,109
旁,100
旅,883
旋,119
族,341
无,2878
既,247
日,10028
旦,109
旧,247
早,1400
时,7385
旺,16
昊,100
昌,209
明,1628
易,2051
星,1040
映,109
春,2901
昨,316
是,25730
显,400
晒,463
晚,3840
晨,448
普,506
景,734
晴,225
智,232
暖,875
暗,527
暮,198
暴,109
曰,109
曲,623
更,3010
曾,431
最,6089
會,116
月,3171
有,13180
朋,1007
服,564
望,2362
朝,678
期,1658
木,741
未,945
末,334
本,1473
术,418
朴,116
朵,116
机,1407
朽,109
杀,209
杂,209
权,210
李,448
材,318
村,109
杖,100
束,219
条,1275
来,10676
杨,100
杭,109
杯,551
杰,109
東,116
杳,116
松,959
板,109
极,325
枕,100
林,117
枚,100
果,1793
枪,300
枯,116
架,169
某,325
染,104
柔,759
柚,225
柜,216
柠,198
查,532
柳,116
柿,200
标,100
树,327
校,316
株,100
样,2351
根,514
格,873
桃,418
案,218
桌,100
桥,100
桦,109
桶,10
梦,1566
棒,898
棠,116
森,200
植,316
椒,430
椰,198
楚,109
楼,300
榄,198
榜,3222
榴,116
槛,42
槽,443
樂,116
模,225
横,209
樱,209
橄,198
橱,100
檬,198
欠,231
次,1657
欢,2911
欧,1572
欲,416
欺,209
款,1467
歇,218
歉,100
歌,2294
止,318
正,2614
此,316
步,748
武,318
歪,416
死,1512
殊,109
残,327
段,684
毁,100
母,632
每,2759
毒,225
比,1632
毕,16
毛,1063
毫,114
民,209
气,3134
氛,109
氧,116
水,3191
永,1963
汁,307
求,432
汉,627
汗,232
江,1369
池,200
污,116
汤,390
沃,200
沉,833
沐,232
沙,330
沟,109
没,5199
河,921
油,1901
治,690
沿,116
泉,1214
泊,126
泌,100
法,1459
泛,109
泡,100
波,1121
泥,221
注,833
泪,418
泰,198
泼,116
泽,928
洁,316
洋,100
洗,1012
洞,100
津,782
洲,1175
活,3871
洼,200
派,232
流,743
浆,218
测,100
浏,116
浓,209
浙,341
浪,425
浮,327
浴,100
海,1721
消,232
涌,116
涕,116
涛,928
润,298
涨,109
涯,100
液,225
淀,309
淑,116
淘,516
淚,116
淡,509
淤,4
深,401
淳,545
混,100
添,117
清,2354
渣,216
温,1937
港,232
游,1417
渺,100
湖,680
湘,109
湾,232
湿,309
源,441
溢,100
溪,109
溯,116
溶,109
溼,109
滋,598
滑,209
滚,232
滞,100
满,1709
滤,100
滨,116
滴,264
漂,116
漏,109
演,741
漠,72
漫,559
漾,109
